so2,so2,so2,so2,so2,so2,so2,so2,so2,so2,so2,so2,so2,so2
-0.315116665,-1.587112468,5.38886272,-0.540977078,-7.138892295,-17.76245438,18.52145439,-21.72643639,-20.20138345,11.38253265,2.239320332,3.201218468,-2.2624479,69.42143206
-2.304040076,1.340075966,7.062683421,4.335954046,-7.500877059,-16.94536453,18.09919561,-21.60764063,-20.21504142,11.38688062,2.237747636,3.201540913,-2.262529537,69.42141503
-2.143232631,3.815965248,6.332835203,8.933770638,-7.862337412,-16.08839471,17.66208233,-21.48041889,-20.22808388,11.39101346,2.236150439,3.201863075,-2.262610875,69.421398
2.543301153,3.775823233,2.598088811,13.06053072,-8.229536747,-15.19397131,17.21069208,-21.34477117,-20.2404901,11.39493061,2.234528704,3.202184953,-2.262691912,69.42138097
-2.384562333,-0.65981601,-2.689076181,16.53143634,-8.60873846,-14.26452069,16.74560244,-21.20069747,-20.25223937,11.39863153,2.232882395,3.202506547,-2.26277265,69.42136393
-2.605318175,-4.549160923,-7.161369922,19.1639933,-9.006205943,-13.30246925,16.26739095,-21.0481978,-20.263311,11.40211564,2.231211476,3.202827857,-2.262853089,69.42134689
-0.637640827,-3.507121861,-8.725681911,20.81676798,-9.42820259,-12.31024335,15.77663517,-20.88727216,-20.27368428,11.40538241,2.229515912,3.203148881,-2.262933227,69.42132984
2.561288433,0.236902054,-7.041058008,21.50347876,-9.880991796,-11.29026937,15.27391267,-20.71792053,-20.28333849,11.40843127,2.227795667,3.203469619,-2.263013066,69.4213128
2.03874679,3.502687002,-3.093845882,21.27625506,-10.36557999,-10.24497369,14.759801,-20.54014294,-20.29225294,11.41126167,2.226050704,3.20379007,-2.263092605,69.42129574
-2.421461296,5.759317262,1.89247007,20.16837447,-10.86282039,-9.176782678,14.23487771,-20.35393937,-20.30040691,11.41387305,2.224280988,3.204110233,-2.263171844,69.42127869
-0.785884334,4.884003809,6.656631731,18.21135631,-11.35180795,-8.08812272,13.69972037,-20.15930982,-20.30777969,11.41626486,2.222486483,3.204430108,-2.263250783,69.42126163
2.213256003,2.025276761,9.941734997,15.43759455,-11.81251229,-6.981420188,13.15490652,-19.9562543,-20.31435059,11.41843654,2.220667153,3.204749695,-2.263329421,69.42124457
-0.581620497,-1.343914462,11.19471861,11.88657957,-12.22490303,-5.85910146,12.60101373,-19.74477282,-20.32009888,11.42038753,2.218822962,3.205068992,-2.26340776,69.42122751
-2.023600054,-4.457146047,10.52307478,7.609279896,-12.5689498,-4.723592912,12.03861956,-19.52486535,-20.32500387,11.42211729,2.216953874,3.205387999,-2.263485799,69.42121045
1.899440491,-6.895775132,8.203929786,2.649601564,-12.82462222,-3.57732092,11.46830155,-19.29653192,-20.32904486,11.42362524,2.215059863,3.205706715,-2.263563537,69.42119338
1.19282178,-7.601540079,4.344617333,-2.751573098,-12.97190913,-2.422692647,10.89063728,-19.05977252,-20.33220112,11.42491079,2.21314094,3.20602514,-2.263640975,69.4211763
-1.943627816,-6.005689752,-0.815997019,-8.299890824,-12.99081088,-1.26210373,10.30620429,-18.81458714,-20.33445195,11.42597331,2.211197128,3.206343273,-2.263718112,69.42115923
-0.02385944,-2.550407382,-6.514333836,-13.70099834,-12.86129152,-0.097986125,9.71558014,-18.5609758,-20.33577666,11.4268122,2.209228446,3.206661114,-2.263794949,69.42114215
1.900072407,2.234220919,-11.53080745,-18.6605424,-12.56429804,1.068211164,9.119342391,-18.29893849,-20.33615452,11.42742684,2.207234925,3.20697866,-2.263871486,69.42112507
1.693483956,6.9922576,-14.13735147,-22.88416971,-12.081793,2.236054692,8.518068599,-18.02847521,-20.33556482,11.42781656,2.205216618,3.207295913,-2.263947722,69.42110798
-0.196410085,8.685622914,-12.56205409,-26.02112874,-11.39560245,3.404974509,7.91233632,-17.74958596,-20.33398676,11.42798064,2.203173587,3.207612872,-2.264023657,69.4210909
-2.580275646,4.962442099,-6.163055513,-27.59773782,-10.48866447,4.574310279,7.302723112,-17.46227075,-20.33139973,11.42791849,2.201105896,3.207929535,-2.264099292,69.4210738
-1.268616742,-3.125975558,2.807221514,-27.49455405,-9.348741849,5.743401669,6.689806532,-17.16652957,-20.32778374,11.4276302,2.199013605,3.208245902,-2.264174626,69.42105671
3.126754073,-9.738419892,11.00162735,-25.68649699,-7.973100312,6.911588344,6.074164136,-16.86236242,-20.32311897,11.42711598,2.196896776,3.208561972,-2.264249659,69.42103961
