date,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10
11/28/2020 18:00,239.672074,-991.5574508,633.1073137,114.2496787,288.2795715,-863.6049778,254.8102221,3659.142482,-462.2324673,252.373554
11/28/2020 19:00,-120.8045566,-876.991406,175.1240326,41.65204285,308.9603977,-813.0452866,275.0456947,3677.257056,-463.6104694,253.0824954
11/28/2020 20:00,-236.8823743,-823.6923393,-249.1746898,-33.41852651,327.2325938,-760.7121397,295.1480046,3695.413498,-464.9824885,253.7884616
11/28/2020 21:00,-39.09301932,-985.4619161,-583.1393211,-109.5532902,342.7873971,-706.7046941,315.1024714,3713.609423,-466.348493,254.4914431
11/28/2020 22:00,181.9868232,-1148.125054,-844.8120315,-185.343509,355.3160447,-651.1221068,334.8944147,3731.84244,-467.7084513,255.1914301
11/28/2020 23:00,164.2001342,-1067.987816,-1070.123513,-259.3804437,364.5097738,-594.0635346,354.5091541,3750.110164,-469.0623315,255.888413
11/29/2020 0:00,-50.07981278,-774.488716,-1286.332298,-330.2553551,370.0598216,-535.6281347,373.9320093,3768.410206,-470.4101022,256.5823823
11/29/2020 1:00,-147.4761993,-393.4920166,-1495.024715,-396.559504,371.657433,-475.9150716,393.1482998,3786.740177,-471.7517314,257.2733283
11/29/2020 2:00,36.66217383,39.27360237,-1679.237057,-456.8841512,368.9990248,-415.028682,412.1433453,3805.097691,-473.0871877,257.9612414
11/29/2020 3:00,71.15014964,640.0257519,-1818.715552,-509.8205575,361.8036084,-353.0958971,430.9024654,3823.480359,-474.4164392,258.6461119
11/29/2020 4:00,-133.1596696,1276.404284,-1893.206426,-553.9599837,349.8033123,-290.2567651,449.4109797,3841.885793,-475.7394544,259.3279304
11/29/2020 5:00,-139.9596411,1544.254009,-1882.734958,-587.6153653,332.7318894,-226.6522336,467.6542078,3860.311606,-477.0562015,260.0066871
11/29/2020 6:00,284.0983559,952.3344502,-1771.588003,-608.6200599,310.4474696,-162.4208154,485.6174694,3878.755409,-478.3666488,260.6823723
11/29/2020 7:00,-244.7805077,-520.4311669,-1556.91298,-617.0857846,283.3291037,-97.70377593,503.2860841,3897.214816,-479.6707647,261.3549767
11/29/2020 8:00,152.7416944,-1588.387183,-1239.002686,-613.7775849,251.9084687,-32.65148958,520.6453715,3915.687436,-480.9685175,262.0244904
11/29/2020 9:00,-239.7650682,-1716.150949,-824.6889509,-599.2261572,216.4911784,32.57738354,537.6806511,3934.170884,-482.2598755,262.6909039
11/29/2020 10:00,-177.4538385,-1168.600104,-345.5903037,-573.9576973,177.3863782,97.81615143,554.3772427,3952.662771,-483.5448071,263.3542077
11/29/2020 11:00,120.3552406,-254.1038537,165.6133926,-538.5387655,134.9524238,162.8892759,570.7204658,3971.160709,-484.8232804,264.0143919
11/29/2020 12:00,10.81374424,847.4274542,677.6117002,-493.5424815,89.56144437,227.6140049,586.6956401,3989.66231,-486.0952639,264.6714471
11/29/2020 13:00,95.57882358,1619.427895,1159.094181,-439.5419651,41.58969803,291.8034574,602.2880851,4008.165187,-487.3607259,265.3253636
11/29/2020 14:00,200.6819146,1947.167258,1578.750399,-377.1103359,-8.585796907,355.2699921,617.4831206,4026.666951,-488.6196346,265.9761319
11/29/2020 15:00,-26.36751246,1945.34646,1907.720755,-306.8207138,-60.58658103,417.8245266,632.266066,4045.165215,-489.8719584,266.6237422
11/29/2020 16:00,-151.3580204,1733.101595,2127.128508,-229.2462183,-114.0286463,479.2724301,646.6222411,4063.657591,-491.1176657,267.268185
11/29/2020 17:00,76.92740541,1391.786632,2225.233462,-144.9599692,-168.5254599,539.4165468,660.5369654,4082.14169,-492.3567247,267.9094507
11/29/2020 18:00,243.0450077,905.6958444,2206.749585,-54.93877933,-223.6901835,598.0594154,673.9955586,4100.615126,-493.5891038,268.5475297
11/29/2020 19:00,-42.68477639,229.3715646,2081.805838,38.39328648,-279.1359787,655.0035745,686.9833403,4119.07551,-494.8147712,269.1824123
