nh3,nh3,nh3,nh3,nh3,nh3,nh3,nh3,nh3,nh3,nh3,nh3,nh3
-2.583672617,19.18765051,-24.56509068,-7.286173339,3.576985908,3.543383275,0.231534285,-8.014861431,-4.026578918,1.843405774,9.738799494,0.32792565,30.57669209
-1.370585047,22.5674506,-25.3540531,-5.764849653,4.193729939,3.665426287,0.486207325,-8.020451306,-4.031669247,1.854907413,9.749609962,0.327692428,30.5765844
2.512043455,14.98862891,-23.89910034,-4.001138793,4.800163774,3.779372264,0.741781567,-8.025872432,-4.036522948,1.866370522,9.760342367,0.327455775,30.57647588
-2.491556138,-4.51304777,-20.4343586,-2.048586225,5.394700427,3.884627957,0.99810644,-8.031119204,-4.041140375,1.877794699,9.77099656,0.327215689,30.57636654
2.490372023,-20.15135366,-15.33303174,0.030356416,5.975752913,3.980600117,1.255031372,-8.036186016,-4.045521882,1.889179541,9.781572387,0.326972165,30.57625636
-2.517716558,-24.06353915,-8.96754713,2.173237493,6.541734247,4.066695494,1.512405794,-8.041067262,-4.049667823,1.900524644,9.792069699,0.326725199,30.57614536
1.49351686,-24.56069368,-1.721376338,4.317605368,7.091057444,4.142320838,1.770079134,-8.045757335,-4.053578552,1.911829606,9.802488342,0.326474788,30.57603352
2.621222912,-19.81451754,5.924808057,6.401008406,7.622135521,4.206882901,2.027900821,-8.050250629,-4.057254424,1.923094023,9.812828166,0.326220929,30.57592086
-2.814852943,-6.829649939,13.31067754,8.360994969,8.13338149,4.259788432,2.285720284,-8.054541539,-4.060695791,1.934317492,9.823089019,0.325963617,30.57580736
-0.772944765,8.978625861,19.7345272,10.13511342,8.623208369,4.300444182,2.543386952,-8.058624458,-4.063903008,1.945499611,9.833270749,0.325702849,30.57569304
3.178801512,21.28493847,24.49465209,11.66091212,9.090029171,4.328256901,2.800750254,-8.06249378,-4.066876428,1.956639976,9.843373204,0.325438621,30.57557789
1.383434796,25.83272165,26.88934729,12.87593944,9.532256912,4.342633341,3.057659618,-8.066143899,-4.069616406,1.967738184,9.853396234,0.32517093,30.57546191
-3.627682327,25.78770963,26.35789363,13.72614385,9.948304606,4.342986758,3.313957969,-8.069569208,-4.072123296,1.978793832,9.863339686,0.324899772,30.5753451
1.749157463,24.67328713,22.9993053,14.19774524,10.33658527,4.328762372,3.569456264,-8.072764103,-4.074397451,1.989806517,9.873203408,0.324625144,30.57522746
4.128664027,20.05260521,17.43674345,14.31308581,10.69447372,4.299440966,3.823929901,-8.075722975,-4.076439225,2.000775836,9.88298725,0.324347041,30.57510899
-2.603125159,9.175026023,10.3891596,14.10443583,11.01608771,4.254534363,4.077123236,-8.078440221,-4.078248973,2.011701386,9.89269106,0.32406546,30.57498969
-4.669186753,-5.251074162,2.575505222,13.60096,11.29865055,4.193581274,4.328753737,-8.080910232,-4.079827048,2.022582763,9.902314685,0.323780397,30.57486956
-0.74102666,-18.70878982,-5.285268182,12.82860908,11.54259952,4.116152798,4.578506486,-8.083127404,-4.081173803,2.033419566,9.911857975,0.323491849,30.5747486
5.166986245,-26.15835247,-12.47420912,11.81247213,11.74923355,4.021848803,4.826037794,-8.08508613,-4.082289594,2.04421139,9.921320778,0.323199812,30.57462682
5.15006339,-24.64563745,-18.37630257,10.57756299,11.91992683,3.910286983,5.070986144,-8.086780804,-4.083174774,2.054957833,9.930702942,0.322904282,30.5745042
-4.163056675,-14.81264767,-22.80393305,9.148895493,12.05605354,3.781085126,5.312989932,-8.088205819,-4.083829696,2.065658492,9.940004315,0.322605257,30.57438076
-5.096748979,-3.747721166,-25.7200364,7.551483489,12.15897379,3.633873652,5.55168898,-8.08935557,-4.084254716,2.076312963,9.949224747,0.322302731,30.57425648
-0.826912134,6.343981357,-27.0992022,5.810340811,12.2299706,3.468351839,5.786731356,-8.090224451,-4.084450185,2.086920843,9.958364085,0.321996701,30.57413138
0.657980869,17.06987356,-26.91206727,3.946528581,12.27020243,3.284315768,6.017792874,-8.090806855,-4.084416461,2.097481731,9.967422177,0.321687165,30.57400544
-0.37412308,25.32094921,-25.11820389,1.970043345,12.28065193,3.081717056,6.244569619,-8.091097163,-4.084153916,2.10799523,9.976398873,0.321374117,30.57387868
3.205303795,24.93103939,-21.68739727,-0.092323602,12.26193268,2.860867761,6.466766321,-8.09108967,-4.083663037,2.118460971,9.985294021,0.321057555,30.57375108
7.737012601,12.47868377,-16.67815989,-2.201985579,12.21398281,2.622729101,6.684113979,-8.090778425,-4.082944583,2.12887861,9.994107468,0.320737475,30.57362266
-7.815957385,-8.80341129,-10.55722142,-4.318593631,12.13656777,2.368403301,6.896375299,-8.090157331,-4.081999541,2.139247888,10.00283906,0.320413873,30.57349341
-3.72600811,-23.02383901,-3.894570695,-6.401798801,12.02944884,2.098981483,7.103328219,-8.089220258,-4.080828952,2.149568564,10.01148866,0.320086745,30.57336333
-7.832548828,-24.2340076,2.749625729,-8.411252135,11.89238732,1.815552488,7.304752954,-8.08796109,-4.079433842,2.159840396,10.02005609,0.319756088,30.57323242
-2.615176774,-19.29151344,8.911577485,-10.30660468,11.72514453,1.519205155,7.500429725,-8.086373746,-4.077815201,2.170063145,10.02854123,0.319421898,30.57310068
1.963133459,-10.56874636,14.36566497,-12.04750747,11.52748175,1.211028322,7.690138747,-8.084452159,-4.075974008,2.18023657,10.0369439,0.319084172,30.57296811
-0.43028578,1.804509774,18.94335569,-13.59361156,11.2991603,0.892110831,7.87366024,-8.082190259,-4.073911242,2.19036043,10.04526396,0.318742906,30.57283471
3.355587327,14.42478162,22.47611718,-14.90456799,11.03994147,0.563541519,8.050774422,-8.079581985,-4.071627876,2.200434486,10.05350126,0.318398096,30.57270048
8.376723233,22.73364719,24.79541694,-15.94002781,10.74958657,0.226409227,8.221261509,-8.076621313,-4.069124844,2.210458496,10.06165565,0.318049738,30.57256542
9.510375998,22.81892307,25.79961626,-16.664058,10.42785689,-0.118197206,8.384901722,-8.073302336,-4.066402963,2.22043222,10.06972698,0.317697829,30.57242953
1.603047982,14.60112391,25.61820822,-17.06380701,10.07451707,-0.469188941,8.541475277,-8.069619204,-4.063462992,2.230355418,10.07771509,0.317342366,30.57229281
-0.647450833,2.104409551,24.3017661,-17.15311102,9.689986429,-0.825477138,8.690762392,-8.065566078,-4.060305683,2.240227849,10.08561983,0.316983344,30.57215527
-5.514788239,-9.943724698,21.86425766,-16.95296277,9.276588651,-1.185972957,8.832543286,-8.061137123,-4.05693178,2.250049273,10.09344105,0.316620759,30.57201689
-10.83561827,-18.3827973,18.31961012,-16.48229816,8.834631187,-1.54958756,8.966598176,-8.056326505,-4.053342026,2.25981945,10.1011786,0.31625461,30.57187768
-8.307935603,-21.75098608,13.68175069,-15.759686,8.364054374,-1.915232106,9.092707281,-8.051128396,-4.049537163,2.269538138,10.10883233,0.31588489,30.57173765
-5.300598411,-20.8772777,8.046278936,-14.80488428,7.865987721,-2.281817756,9.210650818,-8.045536963,-4.045517931,2.279205097,10.11640208,0.315511598,30.57159678
-3.997930057,-17.25824548,1.821846255,-13.63794825,7.341858028,-2.648255671,9.320209006,-8.039546376,-4.041285072,2.288820088,10.12388771,0.315134729,30.57145508
-4.539967778,-12.3018709,-4.555773916,-12.2789332,6.793092096,-3.013457012,9.421162062,-8.033150806,-4.036839325,2.298382868,10.13128906,0.314754279,30.57131256
-4.890574828,-6.81465583,-10.66846174,-10.74789438,6.221116725,-3.376332938,9.513290205,-8.026344422,-4.032181431,2.307893199,10.13860599,0.314370246,30.5711692
-2.284792503,-1.515123773,-16.11489769,-9.064887081,5.627358716,-3.73579461,9.596373652,-8.019121396,-4.027312129,2.317350839,10.14583833,0.313982625,30.57102502
3.214976727,4.142523976,-20.50072329,-7.249966561,5.013244869,-4.09075319,9.670192622,-8.011475897,-4.022232161,2.326755549,10.15298594,0.313591412,30.57088001
4.32470007,11.26645269,-23.43231631,-5.323188093,4.380201986,-4.440119837,9.734527332,-8.003402096,-4.016942264,2.336107086,10.16004867,0.313196605,30.57073416
3.850306459,17.79486592,-24.51505087,-3.305610582,3.729656866,-4.782805711,9.789158001,-7.994894165,-4.011443179,2.345405212,10.16702636,0.312798199,30.57058749
9.07757414,19.86611791,-23.34972711,-1.222866923,3.063036311,-5.117721974,9.833864847,-7.985946275,-4.005735645,2.354649686,10.17391886,0.31239619,30.57043999
11.18316273,12.94704681,-19.71326905,0.896168562,2.38176712,-5.443779786,9.868428087,-7.976552596,-3.9998204,2.363840266,10.18072603,0.311990576,30.57029165
-4.622282948,-2.852033209,-14.09950245,3.022062102,1.687276095,-5.759890308,9.892627939,-7.9667073,-3.993698186,2.372976713,10.1874477,0.311581351,30.57014249
-4.160296712,-15.42926406,-7.18161835,5.125379926,0.980990036,-6.0649647,9.906244622,-7.956404557,-3.98736974,2.382058787,10.19408374,0.311168514,30.5699925
-9.521051895,-18.83979166,0.392835698,7.176688263,0.264335744,-6.357914122,9.909058354,-7.94563854,-3.980835801,2.391086246,10.20063398,0.31075206,30.56984168
-4.9835721,-16.94315131,8.039551831,9.14655334,-0.461259981,-6.637649735,9.900850908,-7.934404975,-3.97409711,2.400058851,10.20709827,0.310331985,30.56969003
-3.602739032,-9.741326104,15.04252806,11.00554139,-1.194370339,-6.9030827,9.881410283,-7.922705814,-3.967154404,2.40897636,10.21347647,0.309908286,30.56953755
-5.802731936,1.322332831,20.64642798,12.72421863,-1.933568527,-7.153124178,9.850526031,-7.910544564,-3.960008429,2.417838541,10.21976842,0.309480958,30.56938424
2.283726583,12.02301772,24.09591519,14.27315131,-2.677427747,-7.386685328,9.807988264,-7.897925289,-3.952659972,2.426645199,10.22597397,0.30905,30.5692301
9.427030292,17.15280442,24.63565329,15.62290564,-3.424521197,-7.602677311,9.753589319,-7.88485428,-3.94510994,2.435396264,10.23209297,0.308615406,30.56907513
7.083115993,13.07537263,21.79016702,16.74703982,-4.173422076,-7.800011288,9.687122092,-7.871338385,-3.937359315,2.444091737,10.23812527,0.308177173,30.56891933
-4.733250013,3.704160149,16.20342568,17.6317228,-4.923346472,-7.977598419,9.608379476,-7.857384452,-3.92940909,2.452731632,10.24407071,0.307735298,30.5687627
-4.489519769,-5.528030006,8.799259704,18.26898418,-5.676379145,-8.134349865,9.517154367,-7.842999329,-3.921260261,2.461315964,10.24992915,0.307289776,30.56860524
-3.968381394,-12.11315874,0.501499539,18.6532551,-6.437006421,-8.269176786,9.413239661,-7.828189863,-3.91291382,2.469844746,10.25570043,0.306840605,30.56844695
-5.032621029,-14.86244472,-7.766668582,18.78073338,-7.21148129,-8.380990344,9.296428251,-7.812962904,-3.904370762,2.478317992,10.2613844,0.30638778,30.56828783
-0.932747197,-14.59249603,-15.07894665,18.64313911,-8.001578995,-8.468701698,9.166513032,-7.797325297,-3.89563208,2.486735716,10.2669809,0.305931298,30.56812788
