no,no,no,no,no,no,no,no,no,no,no,no,no
-7.305540167,4.850082273,15.09890042,8.712430122,-1.766947625,-20.73244745,4.712358626,-4.593034582,-13.27095959,-9.229005052,-0.333155812,25.30669905,31.6306198
-18.78640724,-8.508897274,11.38338927,5.954037245,-2.953430074,-20.25696579,5.155652693,-4.01661846,-13.174818,-9.225392987,-0.330701694,25.30951614,31.63063618
-2.260287938,-19.09343992,6.504366823,2.92851546,-4.120016159,-19.71324954,5.593721839,-3.435310144,-13.07740737,-9.221654208,-0.32821406,25.31232221,31.63065301
11.12488148,-24.68599963,1.106381958,-0.235507861,-5.233515749,-19.10598575,6.025658637,-2.849487846,-12.97873011,-9.217789607,-0.32569307,25.31511727,31.63067029
18.47745162,-24.7340248,-4.187308936,-3.409405346,-6.260738713,-18.43986148,6.450555657,-2.259529778,-12.87878861,-9.213800076,-0.323138883,25.31790133,31.63068801
19.71866767,-19.2605462,-8.910761638,-6.464549621,-7.168494921,-17.71956378,6.867505472,-1.66581415,-12.77758527,-9.209686507,-0.320551657,25.32067442,31.63070618
15.29987789,-9.172969746,-12.91375985,-9.272313316,-7.92322893,-16.95014502,7.275600652,-1.068719173,-12.67512251,-9.205449793,-0.317931553,25.32343655,31.63072479
7.232291101,3.18704701,-16.14169622,-11.70406906,-8.489847162,-16.13819569,7.67393377,-0.468623058,-12.57140272,-9.201090824,-0.315278729,25.32618774,31.63074385
-2.758071736,15.89890111,-18.54583013,-13.63118947,-8.832358601,-15.29120375,8.061597396,0.134095984,-12.46642832,-9.196610493,-0.312593344,25.328928,31.63076336
-12.79798666,26.88478658,-20.07742094,-14.92450295,-8.914102202,-14.4178714,8.437684103,0.739059742,-12.36020169,-9.192009692,-0.309875557,25.33165735,31.63078331
-20.59521808,33.74788583,-20.68518959,-15.45519933,-8.701197677,-13.52629705,8.801286462,1.345890005,-12.25272524,-9.187289313,-0.307125528,25.3343758,31.63080371
-20.8467859,34.1490633,-20.25722263,-15.15085113,-8.169343105,-12.61767903,9.151497045,1.954208561,-12.14400138,-9.182450247,-0.304343415,25.33708337,31.63082455
-1.667638997,27.0919629,-18.57828908,-14.11943142,-7.313788779,-11.69143089,9.487408422,2.5636372,-12.03403251,-9.177493387,-0.301529378,25.33978008,31.63084584
16.89203773,15.04846762,-15.7872537,-12.47876182,-6.168843837,-10.74696618,9.808113166,3.173797712,-11.92282103,-9.172419625,-0.298683576,25.34246594,31.63086758
21.2596862,1.033977812,-12.12412536,-10.33743272,-4.778048615,-9.783698422,10.11270385,3.784311884,-11.81036934,-9.167229852,-0.295806168,25.34514097,31.63088977
14.40586999,-13.71922786,-7.828912979,-7.804034534,-3.184943449,-8.801041171,10.40027304,4.394801506,-11.69667986,-9.16192496,-0.292897312,25.34780519,31.6309124
-0.12712138,-27.27059665,-3.141625429,-4.987157677,-1.433068676,-7.798407965,10.66991331,5.004888367,-11.58175497,-9.156505842,-0.289957169,25.3504586,31.63093548
-3.528043655,-37.85959867,1.688796497,-1.995392554,0.434035369,-6.775212347,10.92071724,5.614194256,-11.46559709,-9.150973388,-0.286985898,25.35310124,31.630959
-11.51236378,-42.41326523,6.377684428,1.062670426,2.372828349,-5.730867859,11.15177739,6.222340961,-11.34820861,-9.145328492,-0.283983657,25.3557331,31.63098297
-18.91633243,-39.09291121,10.67543728,4.078440854,4.339769929,-4.664788042,11.36218633,6.828950273,-11.22959195,-9.139572045,-0.280950605,25.35835422,31.63100739
-20.67108784,-27.21096065,14.5084507,6.943328321,6.291319771,-3.576386439,11.55103665,7.43364398,-11.10974949,-9.133704939,-0.277886902,25.3609646,31.63103226
2.033693185,-8.355298238,17.84711951,9.548742418,8.183937541,-2.46507659,11.7174209,8.03604387,-10.98868365,-9.127728066,-0.274792707,25.36356426,31.63105757
