E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12
33.09059179,-70.8710263,4.919706339,0.367410809,-4.420048059,0.104720549,-3.680244939,-3.109541738,3.133687375,-23.12515102,-4.285128773,67.87502396
40.80722793,-61.75225034,-13.02681812,1.49903072,-4.814086271,0.507990761,-3.770978145,-3.058692875,3.148068843,-23.13705686,-4.277807348,67.8753717
30.03775237,-34.52308339,-30.62692396,2.599033012,-5.137684676,0.898050546,-3.858482044,-3.007379833,3.162477946,-23.14900244,-4.270476778,67.87571925
7.175029691,3.275556986,-46.69324241,3.619501562,-5.379450461,1.271920425,-3.942564439,-2.955606887,3.17691368,-23.16098769,-4.26313707,67.87606661
-18.25444416,40.97005577,-60.03933857,4.512520247,-5.528474088,1.627104193,-4.02303313,-2.903378311,3.191375041,-23.17301255,-4.255788231,67.87641379
-36.24952349,67.41214818,-69.47877755,5.230172943,-5.574452756,1.961712386,-4.099695919,-2.850698382,3.205861023,-23.18507696,-4.248430269,67.87676079
-39.84472329,74.48923017,-73.82512447,5.724543529,-5.507986337,2.274758209,-4.172360606,-2.797571375,3.220370624,-23.19718086,-4.241063189,67.8771076
-27.5679788,59.93024423,-72.24879749,5.956728001,-5.320643078,2.565937818,-4.240834994,-2.744001564,3.234902838,-23.2093242,-4.233686999,67.87745423
-3.795545364,28.70495848,-65.34762701,5.926608136,-5.007998275,2.83507542,-4.30492686,-2.689993248,3.249456662,-23.22150691,-4.226301706,67.87780067
22.87086999,-9.643280968,-54.0762965,5.654366731,-4.577201546,3.08199522,-4.364443862,-2.635550846,3.264031091,-23.23372893,-4.218907316,67.87814693
43.72716762,-45.46873536,-39.3894894,5.164299238,-4.039515165,3.306521424,-4.41919354,-2.580678896,3.27862512,-23.24599021,-4.211503837,67.87849301
50.04398388,-69.10040196,-22.24188919,4.481106563,-3.406606864,3.508478239,-4.468983404,-2.525381961,3.293237747,-23.25829067,-4.204091276,67.8788389
38.67869802,-76.44790561,-3.584294596,3.629506047,-2.690160803,3.687689871,-4.513620968,-2.469664606,3.307867965,-23.27063028,-4.196669639,67.8791846
12.9163959,-68.92310133,15.60701916,2.634212441,-1.90185856,3.843980525,-4.552913745,-2.413531395,3.322514772,-23.28300895,-4.189238934,67.87953012
-20.53449647,-49.18100726,34.19559986,1.519931355,-1.053372566,3.977174408,-4.586669247,-2.35698689,3.337177162,-23.29542665,-4.181799167,67.87987546
-52.3412421,-19.52993708,51.00397984,0.311370619,-0.156377473,4.087095727,-4.614694988,-2.300035655,3.351854132,-23.30788329,-4.174350345,67.88022061
-54.43501436,16.66570587,64.85469146,-0.966760739,0.777450867,4.173568687,-4.636798438,-2.242682298,3.366544677,-23.32037883,-4.166892476,67.88056558
32.76917062,52.315361,74.57026708,-2.289753689,1.736436601,4.236417493,-4.6527866,-2.18493189,3.381247794,-23.33291321,-4.159425566,67.88091037
36.7406518,75.68411266,78.97323904,-3.6328992,2.708903876,4.275466354,-4.662465193,-2.12679079,3.395962477,-23.34548636,-4.151949621,67.88125497
56.07253517,75.66425216,77.11337896,-4.96970154,3.68317684,4.290539699,-4.66563894,-2.068266576,3.410687722,-23.35809823,-4.14446465,67.88159938
5.159297031,47.56830125,69.13171095,-6.26651816,4.64757964,4.281501451,-4.662149076,-2.009369805,3.425422526,-23.37074876,-4.136970659,67.88194362
-55.83229905,5.568286979,56.1256798,-7.48791981,5.590436423,4.248370526,-4.651991019,-1.950111847,3.440165883,-23.38343788,-4.129467655,67.88228766
-44.25921268,-33.08233578,39.37502565,-8.598477239,6.500071337,4.191206083,-4.635200408,-1.890504091,3.45491679,-23.39616554,-4.121955645,67.88263153
0.958916891,-60.41743249,20.15948866,-9.562761196,7.364808529,4.110067688,-4.611813293,-1.830557925,3.469674243,-23.40893168,-4.114434635,67.88297521
33.57808418,-72.65650241,-0.241191009,-10.34585051,8.173480225,4.005033992,-4.581884804,-1.77028474,3.484437236,-23.42173624,-4.106904633,67.8833187
48.93999451,-67.85806193,-20.55396686,-10.91551667,8.917611317,3.876261403,-4.545547832,-1.709695922,3.499204767,-23.43457915,-4.099365646,67.88366201
45.63224915,-45.82866704,-39.58364877,-11.24335697,9.592552494,3.723931172,-4.502960107,-1.648802863,3.51397583,-23.44746036,-4.09181768,67.88400514
28.3247454,-12.24614873,-56.3460676,-11.30430841,10.19699416,3.548225988,-4.454280801,-1.58761695,3.528749421,-23.46037982,-4.084260743,67.88434808
5.309414328,23.64071003,-69.90813605,-11.07380084,10.73011955,3.349328538,-4.399669082,-1.526149574,3.543524536,-23.47333745,-4.076694841,67.88469084
-14.84633713,52.30765042,-79.33676679,-10.52691285,11.19076067,3.127421512,-4.339284122,-1.464412122,3.558300171,-23.4863332,-4.069119981,67.88503342
-25.09207449,65.74738606,-83.69887251,-9.638619398,11.57764586,2.882687598,-4.27328509,-1.402415985,3.573075322,-23.49936701,-4.061536171,67.88537581
-21.56083279,59.43370648,-82.34533204,-8.397529731,11.88945422,2.615352806,-4.201831156,-1.34017255,3.587848984,-23.51243882,-4.053943417,67.88571801
-7.347454857,36.99263444,-75.7628887,-6.846814047,12.12460277,2.325905195,-4.125081491,-1.277693208,3.602620153,-23.52554857,-4.046341726,67.88606004
11.08213791,5.718877702,-64.72225198,-5.043282784,12.28098116,2.01536021,-4.043195264,-1.214989347,3.617387824,-23.5386962,-4.038731106,67.88640187
24.92327274,-24.74410465,-49.99413135,-3.043746381,12.3558592,1.685353131,-3.956331646,-1.152072356,3.632150994,-23.55188165,-4.031111562,67.88674353
26.94416327,-46.35573991,-32.34923628,-0.905015277,12.34629587,1.337730061,-3.864649807,-1.088953625,3.646908658,-23.56510487,-4.023483102,67.887085
14.82324837,-55.98881175,-12.51514512,1.31610009,12.24924499,0.974442284,-3.768308917,-1.025644542,3.661659812,-23.57836578,-4.015845733,67.88742629
-8.507937266,-54.63569199,8.787056138,3.562789279,12.06162459,0.597476854,-3.667468146,-0.962156496,3.676403452,-23.59166434,-4.008199462,67.88776739
-28.2581359,-43.14747806,30.21528402,5.778241854,11.78034917,0.20882436,-3.562286664,-0.898500877,3.691138572,-23.60500048,-4.000544296,67.88810831
-38.72731276,-22.42801226,50.26142291,7.905647374,11.40233323,-0.189524611,-3.452923642,-0.834689073,3.70586417,-23.61837414,-3.992880242,67.88844904
-27.62955789,4.542987939,67.41735721,9.8881954,10.92449128,-0.595579473,-3.339538249,-0.770732475,3.720579241,-23.63178527,-3.985207306,67.88878959
44.34022544,31.84661826,80.1749713,11.6690755,10.34373782,-1.007349639,-3.222289656,-0.706642469,3.73528278,-23.6452338,-3.977525495,67.88912996
29.19181625,45.24929216,87.02614957,13.19147722,9.656987364,-1.422844521,-3.101337032,-0.642430447,3.749973784,-23.65871967,-3.969834817,67.88947014
